Fransızca;Türkçe
mouvement transformateur ;dönüştürücü hareket
plan d'échantillonnage tournant ;dönüşümlü örneklem tasarımı
sociologie de l'émotion ;duygu sosyolojisi
système mondial ;dünya sistemi
théorie des systèmes mondiaux ;dünya sistemleri kuramı
sociologie réflexive ;düşünümsel sosyoloji
réflexivité ;düşünümsellik
théorie de la régulation ;düzenleme kuramı
sociologie de l'éducation ;eğitim sosyolojisi
sous-emploi ;eksik istihdam
centre de retraite ;emekli bölgeleri
principe du moindre intérêt ;en az çıkar ilkesi
intellectuels ;entelektüeller
synchronie ;eşzamanlılık
interactioni ;etkileşim
effets d'interaction;etkileşim etkileri
techniques de neutralisation ;etkisizleştirme teknikleri
sociologie du travail domestique ;ev işi sosyolojisi
Examen de l'état actuel ;Fiili Durum İncelemesi
sociologie formelle ;formel sosyoloji
économie de subsistance ;geçim ekonomisi
rites de passage ;geçiş törenleri
sociologie du développement ;gelişme sosyolojisi
jeunesse ;gençlik
allocations universelles ;genel yardımlar hizmetler
criminologie réaliste ;gerçekçi kriminoloji
amnésie rétrograde ;geriye dönük bellek yitimi
pouvoir des référents ;gönderge iktidar
sociologie visuelle ;görsel sosyoloji
droit d'auteur ;greve yatkınlık
bouc émissaire ;günah keçisi
fiabilité ;güvenilirlik
transcarcération ;hapsetme kurumları arasında nakletme
schisme ;hizipleşme
secteur secondaire ;ikincil sektör
sociologie de la vie économique ;iktisadi yaşam sosyolojisi
progrès ;ilerleme
réductionnisme ;indirgemecilik
volontarisme ;iradecilik
Échantillon d'enregistrements anonymes ;İsimsizleştirilmiş Kayıtlar Ömeklemi
contrôle statistique ;istatistiki denetim
tribu ;kabile
débat qualitatif contre quantitatif ;kalitatif-kanlitatif tartışması
point de départ ;kalkış noktası
esprit du capitalisme ;kapitalizmin ruhu
profit ;kâr
routinisation du charisme ;karizmanın rutinleşmesi
analyse comparative qualitative ;karşılaştırmalı kalitatif analiz
mobilisation des ressources ;kaynak mobilizasyonu
prophétie auto-réalisatrice ;kendi kendini gerçekleştiren kehanet
réalisation de soi ;kendini gerçekleştirme
sociologie urbaine ;kent sosyolojisi 
sociologie urbaine ;kentleşme
mouvements sociaux urbains ;kentsel toplumsal hareketler
clivages sectoriels ;kesimsel dilimler
pratique restrictive ;kısıtlayıcı pratik
polygynie sororale ;kızkardeş çokkarılılığıbaldızlama
stimulus inconditionnel ;koşullandırılmamış uyaran
réponse inconditionnelle ;koşullandırılmamış yanıt
réponse inconditionnelle ;koşulsuz yanıt
échantillon de quotas ;kota örneklemi
valeur d'usage ;kullanım değeri
victimologie ;kurbanbilim
mouvement rédempteur ;kurtarıcı hareket
transinstitutionnalisation ;kurumlar arasında gidip gelme
sacré ;kutsal
mode d'invasion-succession;l işgal-yerine geçme modeli
salade de mots ;lâf salatası
Dilemme du prisonnier ;Mahkûm'un İkilemi
sociologie des médias ;medya sosyolojisi
professionnalisme ;meslekçi eğitim
secte ;mezhep
sectarisme ;mezhepçilik
triangulation ;nirengi üçgenleme
diagrammes de dispersion ;nokta serpiştirme grafikleri
pouvoir de renumérotation ;ödüllendirici güç
échelle ;ölçek
mise à l'échelle ;ölçekleme
échantillon ;örneklem
échantillonnage ;örnekleme
poids d'échantillonnage ;örnekleme ağırlıkları
erreur d'échantillonnage ;örnekleme hatası
sphère privée ;özel alan
religion privée ;özel din
sujet ;özne
expérience subjective du travail ;öznel çalışma deneyimi
égalité subjective ;öznel eşitlik
renforcement ;pekiştirme
prestige ;prestij
psikose ;psikoz
groupe de référence ;referans grubu
régression ;regresyon
réplication ;replikasyon
effet de déplacement risqué ;riskli geçiş etkisi
rituel ;ritüel
conflit de rôles ;rol çatışması
jeu de rôle ;rol kümesi
rôle ;rol oynama
rôle de l'homme ;rol yapımı
test de Rorschach ;Rorschach Testi
sociologie de l'industrie ;sanayi sosyolojisi
sanskritisation ;sanskritleştimıe
spiralisine ;sarmal terfi
avantages sélectifs ;seçici yardımlar hizmetler
psephologie ;seçimbilim
sécularisation ;sekülerleşme
interactionnisme symbolique ;sembolik etkileşimcilik
syndicalisme ;sendikal tavır
syndicalisme ;sendikalizm
synthèse ;sentez
tolérance zéro ;sıfır tolerans
intégration du système ;sistem entegrasyonu
gangs ;sokak çeteleri
effet de récurrence ;sonralık etkisi
science sociale ;sosyal bilim
mondes sociaux ;sosyal dünyalar
psychologie sociale ;sosyal psikoloji
assurance sociale ;sosyal sigorta
sociolinguistique ;sosyo-dilbilim
sociogramme ;sosyogram
intervention sociologique ;sosyolojik müdahale
système sociotechnique ;sosyo-teknik sistem
coefficient de corrélation de rang de Spearman ;Spearman sıra korelasyon katsayısı
taux de mortalité standardisé ;standart ölümlülük oranları
taux de mortalité standardisé ;standartlaşmış ölümlülük oranlan
standardisation;standartlaştırma
état de santé ;statü kazanma
situation de l'état ;statü konumu
cohérence du statut ;statü tutarlılığı
théorie de l'attribution du statut ;statüyükleme kuramı
développement durable ;sürdürülebilir kalkınma
transhumance ;sürü göçü
réification ;şeyleştirme
schizophrénie ;şizofreni
satisfaction ;tatminkâr
échelle unidimensionnelle ;tek boyutlu ölçekleme
descente unilinéaire ;tekyanlı soy
Test d'Apperception Thématique ;Tema Kavrama Testi
communauté thérapeutique ;terapötik topluluk
discrimination inverse ;ters ayrımcılık
échantillonnage aléatoire ;tesadüfi örnekleme
Vingt déclarations ;Test Yirmi İfade Testi
Théorème de Thomas ;Thomas Teoremi
échelle de Thurstone ;Thurstone ölçeği
ingénierie sociale ;toplum mühendisliği
contrat social ;toplum sözleşmesi
fluidité sociale ;toplumsal akışkanlık
enquête sociale ;toplumsal anket araştırması
conscience sociale ;toplumsal bilinç
géographie sociale ;toplumsal coğrafya
solidarité sociale ;toplumsal dayanışma
démographie sociale ;toplumsal demografi
contrôle social ;toplumsal denetim
révolution sociale ;toplumsal devrim
exclusion sociale ;toplumsal dışlama
dynamique sociale ;toplumsal dinamik
ordre social ;toplumsal düzen
écologie sociale ;toplumsal ekoloji
inégalité sociale ;toplumsal eşitsizlik
indicateurs sociaux ;toplumsal göstergeler
groupe social ;toplumsal grup
besoins sociaux ;toplumsal ihtiyaçlar
stabilité sociale ;toplumsal istikrar
construction sociale ;toplumsal kurmacılık
institution sociale ;toplumsal kurum
mobilité sociale ;toplumsal mobilite
norme sociale ;toplumsal norm
échelle sociétale ;toplumsal ölçek
système social ;toplumsal sistem
crime social ;toplumsal suç
stratification sociale ;toplumsal tabakalaşma
tendance sociale ;toplumsal trend
zone de -ou dans- ;transition geçiş bölgesi
échelle de Treiman ;Treiman ölçeği
sociologie de la consommation ;tüketim sosyolojisi
suivi ;türdeş gruplara ayırma
salaire-travail ;ücretli emek
Tiers-Monde ;Üçüncü Dünya
Entrepôt du tiers-monde ;Üçüncü Dünya ambarı
secteur tertiaire ;üçüncül sektör
taux de reproduction ;üreme oranı
technologies de reproduction ;üreme teknolojileri
utopie ;ütopya
variance ;varyans
Weltanschauung ;Weltanschauung dünya görüşü
taux de réponse ;yanıt oranı
structure ;yapı
différenciation structurelle ;yapısal farklılaşma
structuralisme ;yapısalcılık
sanction ;yaptırım
quasi-religion ;yarı-din
interdiction ;yasaklama
sociologie du vieillissement ;yaşlanma sosyolojisi
armée de réserve du travail ;yedek emek ordusu
travail reproductif ;yeniden üretici emek
sociologie de la formation ;yetiştirme sosyolojisi
richesse ;zenginlik
exogamie;dışevlilik
